62 1891
0 1 0.796346114244
0 2 0.849322149949
0 3 0.910186096731
0 4 0.893807342642
0 5 0.814302782879
0 6 0.826675451105
0 7 0.946840106748
0 8 0.954585925718
0 9 0.893994449906
0 10 0.856554656196
0 11 0.905200887782
0 12 0.877360550682
0 13 0.935943433541
0 14 0.811717272483
0 15 0.871182994414
0 16 0.839945685977
0 17 0.818016503181
0 18 0.921697655976
0 19 0.784812062626
0 20 0.85683165143
0 21 0.817230936366
0 22 0.976612196894
0 23 0.89296244592
0 24 0.992651879032
0 25 0.776163067484
0 26 0.89961755958
0 27 1.01777673615
0 28 0.907526632825
0 29 0.922016610772
0 30 0.963780077642
0 31 0.957651677804
0 32 1.00073156667
0 33 0.910298960545
0 34 0.850864596044
0 35 0.948445590779
0 36 0.876586647138
0 37 0.838282867913
0 38 0.917917672109
0 39 0.804640770176
0 40 0.824254112807
0 41 0.991376739723
0 42 0.796951297244
0 43 0.801177413962
0 44 0.909198271972
0 45 0.884056062846
0 46 0.979626381725
0 47 0.80424012567
0 48 0.778781902049
0 49 0.95088701395
0 50 0.989432623681
0 51 0.757522168694
0 52 0.81876166276
0 53 0.848188010533
0 54 0.801761928486
0 55 0.941526434109
0 56 0.937384644792
0 57 0.979924320903
0 58 0.890739515218
0 59 0.772961523856
0 60 0.901165199389
0 61 0.904244998001
1 2 0.80717287823
1 3 0.812695730897
1 4 0.799499764051
1 5 0.766572036299
1 6 0.781530619757
1 7 0.841333442562
1 8 0.77809429886
1 9 0.803553397916
1 10 0.803514733399
1 11 0.776958775589
1 12 0.773590649957
1 13 0.789827086213
1 14 0.816939478185
1 15 0.767132040479
1 16 0.757149144926
1 17 0.905544810538
1 18 0.826809780581
1 19 0.903931679868
1 20 0.770004312908
1 21 0.766521016948
1 22 0.835474807159
1 23 0.833198935951
1 24 0.791940448316
1 25 1.21177388485
1 26 0.814732054772
1 27 0.814514284467
1 28 0.774433128421
1 29 0.835790702925
1 30 0.832529515459
1 31 0.782430127884
1 32 0.844622304659
1 33 0.791349922534
1 34 0.777461859906
1 35 0.867093721364
1 36 0.834039098293
1 37 0.878200689074
1 38 0.804090328454
1 39 0.870600252262
1 40 0.840330634965
1 41 0.857238444799
1 42 0.88049190297
1 43 0.829737439233
1 44 0.838206706074
1 45 0.786294480136
1 46 0.810131221047
1 47 0.879439015021
1 48 0.857665246214
1 49 0.831872688258
1 50 0.812871884292
1 51 1.38267439239
1 52 0.729072115144
1 53 0.88925988336
1 54 0.762821208021
1 55 0.83341191925
1 56 0.837428583952
1 57 0.835652779368
1 58 0.824111131429
1 59 0.826529479148
1 60 0.872689606562
1 61 0.773037872996
2 3 0.895119861412
2 4 0.926595506516
2 5 0.791116729785
2 6 0.804613430742
2 7 0.92715169705
2 8 0.863027375447
2 9 0.908218361397
2 10 0.850029015254
2 11 0.891878479889
2 12 0.860804321186
2 13 0.812856822201
2 14 0.821118978756
2 15 0.807245143257
2 16 0.817983694851
2 17 0.847526837612
2 18 0.884969874721
2 19 0.825964692263
2 20 0.837724801391
2 21 0.830947147309
2 22 0.893148224462
2 23 0.926877137823
2 24 0.87828463738
2 25 0.785771074666
2 26 0.876041147754
2 27 0.933588342813
2 28 0.885150967796
2 29 0.90035526049
2 30 0.901110010644
2 31 0.876318008904
2 32 0.965699926899
2 33 0.893683079004
2 34 0.82470888052
2 35 0.926661646901
2 36 0.85059598708
2 37 0.863044869491
2 38 0.888223433664
2 39 0.814437044475
2 40 0.828533560922
2 41 0.92332807514
2 42 0.821228041805
2 43 0.833407800655
2 44 0.864406174402
2 45 0.866425886793
2 46 0.884288101673
2 47 0.821744895806
2 48 0.792506597548
2 49 0.896474230929
2 50 0.863392890057
2 51 0.786287108174
2 52 0.768315482897
2 53 0.806476866898
2 54 0.784728040881
2 55 0.916439716773
2 56 0.943824736479
2 57 0.913222791498
2 58 0.871564653262
2 59 0.798407206482
2 60 0.876344790054
2 61 0.855385982269
3 4 0.95117114904
3 5 0.847261578913
3 6 0.842858450931
3 7 1.04059866041
3 8 1.03007970071
3 9 0.931982285212
3 10 0.839305158379
3 11 0.982316051241
3 12 0.898007274927
3 13 0.87604918072
3 14 0.840518515228
3 15 0.880801912245
3 16 0.882001553617
3 17 0.900946762631
3 18 0.935372687672
3 19 0.845396265562
3 20 0.900935002983
3 21 0.864285081694
3 22 0.99910295744
3 23 0.950841204295
3 24 0.934906973235
3 25 0.801738708365
3 26 0.920244573735
3 27 1.02981361731
3 28 0.94903577781
3 29 0.958249599183
3 30 0.965843469163
3 31 0.899499095602
3 32 0.999298377362
3 33 0.935670170251
3 34 0.874983049114
3 35 1.00043935529
3 36 1.00513001037
3 37 0.902346408605
3 38 1.02399983943
3 39 0.868379797066
3 40 0.86862627686
3 41 1.0150393478
3 42 0.865080003039
3 43 0.849341380106
3 44 0.940853526314
3 45 0.935222786274
3 46 0.922664833152
3 47 0.855759941665
3 48 0.829861964006
3 49 0.996712581855
3 50 0.957841402531
3 51 0.785703252111
3 52 0.782267307288
3 53 0.855928937576
3 54 0.814100857977
3 55 1.01111380229
3 56 1.01006839319
3 57 1.04041862736
3 58 0.897555634538
3 59 0.803807911887
3 60 0.966521571307
3 61 0.935907548517
4 5 0.89411544892
4 6 0.848631951449
4 7 0.953530877947
4 8 0.90022221533
4 9 0.914242544688
4 10 0.898808220311
4 11 1.05556048658
4 12 0.889786558569
4 13 0.85954659677
4 14 0.820876258067
4 15 0.834450991062
4 16 0.849042174776
4 17 0.875608502793
4 18 0.92930949246
4 19 0.823646068587
4 20 0.902395961343
4 21 0.832380798492
4 22 0.94378318358
4 23 0.951210786375
4 24 0.923718418516
4 25 0.776209428463
4 26 0.945649380783
4 27 1.0111876302
4 28 0.947176916198
4 29 0.958300007593
4 30 0.974986577727
4 31 0.891123820499
4 32 1.07537839011
4 33 0.940003131647
4 34 0.878949516764
4 35 0.984802005981
4 36 0.965650754931
4 37 0.882828249811
4 38 0.913073494159
4 39 0.839434995304
4 40 0.857293491604
4 41 0.982684708777
4 42 0.832208989704
4 43 0.858160456857
4 44 0.974803897807
4 45 0.925781358499
4 46 0.90758104837
4 47 0.831559323441
4 48 0.815992651018
4 49 1.05770166245
4 50 0.924419322585
4 51 0.801318737129
4 52 0.766048145803
4 53 0.83236737027
4 54 0.867558293801
4 55 0.946902915554
4 56 1.02832641207
4 57 0.957581139157
4 58 0.875978215966
4 59 0.804311022359
4 60 0.946051639109
4 61 0.958462566372
5 6 0.774804034512
5 7 0.865000676524
5 8 0.866670443372
5 9 0.805062325534
5 10 0.80648717618
5 11 0.885480950689
5 12 0.8322213351
5 13 0.787795401006
5 14 0.797497043815
5 15 0.776879386102
5 16 0.774657160465
5 17 0.795215931581
5 18 0.827453048788
5 19 0.763441454207
5 20 0.769341960969
5 21 0.795432770894
5 22 0.855875067645
5 23 0.826462834285
5 24 0.827883706778
5 25 0.763969259444
5 26 0.850763251737
5 27 0.851971438022
5 28 0.827506724425
5 29 0.837305010445
5 30 0.852430516176
5 31 0.788449362797
5 32 0.87232258764
5 33 0.828585504157
5 34 0.775613287991
5 35 0.820297937643
5 36 0.815653123757
5 37 0.810862487542
5 38 0.843695997884
5 39 0.79127242152
5 40 0.822867699018
5 41 0.847575300966
5 42 0.790591402361
5 43 0.770797021873
5 44 0.837701341274
5 45 0.843394047367
5 46 0.808860306752
5 47 0.803585433852
5 48 0.769523694253
5 49 0.844362706693
5 50 0.811979489035
5 51 0.757470799607
5 52 0.730221648354
5 53 0.778887563202
5 54 0.810304163049
5 55 0.858055111599
5 56 0.839689212558
5 57 0.844363308104
5 58 0.795530531091
5 59 0.779298627235
5 60 0.847537406811
5 61 0.823178434083
6 7 0.83897502876
6 8 0.8295863762
6 9 0.819781154942
6 10 0.795934965227
6 11 0.829076247129
6 12 0.821337137914
6 13 0.788571031223
6 14 0.777735514779
6 15 0.78288917733
6 16 0.75853910789
6 17 0.837648726343
6 18 0.808436666678
6 19 0.805481658265
6 20 0.826617315092
6 21 0.771187505001
